metric,value,unit
l1tex__texin_sm2tex_req_cycles_active.avg.pct_of_peak_sustained_elapsed,0.051035,%
l1tex__texin_sm2tex_req_cycles_active.max.pct_of_peak_sustained_elapsed,0.065017,%
l1tex__texin_sm2tex_req_cycles_active.min.pct_of_peak_sustained_elapsed,0.004597,%
l1tex__texin_sm2tex_req_cycles_active.sum.pct_of_peak_sustained_elapsed,0.051035,%
l1tex__throughput.avg.pct_of_peak_sustained_active,69.244109,%
l1tex__throughput.max.pct_of_peak_sustained_active,80.063501,%
l1tex__throughput.min.pct_of_peak_sustained_active,0.005701,%
l1tex__throughput.sum.pct_of_peak_sustained_active,69.244109,%
l1tex__tmain_requests.avg.pct_of_peak_sustained_elapsed,0.472569,%
l1tex__tmain_requests.max.pct_of_peak_sustained_elapsed,0.546408,%
l1tex__tmain_requests.min.pct_of_peak_sustained_elapsed,0,%
l1tex__tmain_requests.sum.pct_of_peak_sustained_elapsed,0.472569,%
launch__barrier_count,16,
launch__block_dim_x,384,block
launch__block_dim_y,1,block
launch__block_dim_z,1,block
launch__block_size,384,
launch__cluster_dim_x,2,
launch__cluster_dim_y,1,
launch__cluster_dim_z,1,
launch__cluster_max_active,74,cluster
launch__cluster_max_potential_size,8,block
launch__cluster_scheduling_policy,PolicySpread,
launch__cluster_size,2,
launch__context_id,1,
launch__device_id,0,
launch__func_cache_config,CachePreferNone,
launch__function_pcs,1,
launch__grid_dim_x,128,
launch__grid_dim_y,1,
launch__grid_dim_z,1,
launch__grid_size,128,
launch__kernel_name,,
launch__occupancy_cluster_gpu_pct,0.585938,%
launch__occupancy_cluster_pct,3.125000,%
launch__occupancy_limit_barriers,4.000000,block
launch__occupancy_limit_blocks,32.000000,block
launch__occupancy_limit_registers,1.000000,block
launch__occupancy_limit_shared_mem,1.000000,block
launch__occupancy_limit_warps,5.000000,block
launch__occupancy_per_barrier_count,780,
launch__occupancy_per_block_size,273,
launch__occupancy_per_cluster_size,378,
launch__occupancy_per_register_count,2028,
launch__occupancy_per_shared_mem_size,5460,
launch__persisting_l2_cache_size,24.870912,Mbyte
launch__preferred_cluster_dim_x,0,
launch__preferred_cluster_dim_y,0,
launch__preferred_cluster_dim_z,0,
launch__preferred_cluster_size,0,
launch__registers_per_thread,112,register/thread
launch__registers_per_thread_allocated,112.000000,register/thread
launch__shared_mem_config_size,200.704000,Kbyte
launch__shared_mem_per_block,182.272000,Kbyte/block
launch__shared_mem_per_block_allocated,182.272000,Kbyte/block
launch__shared_mem_per_block_driver,1.024000,Kbyte/block
launch__shared_mem_per_block_dynamic,181.248000,Kbyte/block
launch__shared_mem_per_block_static,0,byte/block
launch__sm_count,148,SM
launch__stack_size,1024,
launch__stream_id,7,
launch__thread_count,49152,thread
launch__tpc_count,74,
launch__tpc_enabled,all,
launch__uses_cdp,0,
launch__uses_green_context,0,
launch__uses_mps,0,
launch__uses_nvlink_centric_scheduling,0,
launch__uses_vgpu,0,
launch__waves_per_multiprocessor,0.86,
lrc__average_ilc_input_sector_success_rate.pct,0,%
lrc__average_ilc_output_sector_compression_achieved_rate.pct,0,%
lrc__ilc_input_sectors.sum,1052563.000000,sector
lts__d_atomic_input_cycles_active.avg.pct_of_peak_sustained_elapsed,0,%
lts__d_atomic_input_cycles_active.max.pct_of_peak_sustained_elapsed,0,%
lts__d_atomic_input_cycles_active.min.pct_of_peak_sustained_elapsed,0,%
lts__d_atomic_input_cycles_active.sum.pct_of_peak_sustained_elapsed,0,%
lts__d_decomp_input_sectors.avg.pct_of_peak_sustained_elapsed,0,%
lts__d_decomp_input_sectors.max.pct_of_peak_sustained_elapsed,0,%
lts__d_decomp_input_sectors.min.pct_of_peak_sustained_elapsed,0,%
lts__d_decomp_input_sectors.sum.pct_of_peak_sustained_elapsed,0,%
lts__d_sectors.avg.pct_of_peak_sustained_elapsed,23.486728,%
lts__d_sectors.max.pct_of_peak_sustained_elapsed,25.114596,%
lts__d_sectors.min.pct_of_peak_sustained_elapsed,9.776262,%
lts__d_sectors.sum.pct_of_peak_sustained_elapsed,23.486728,%
