step,size,trial,role,start_ns,end_ns,wait_ns,work_ns,handoff_ns,epilogue_ns,start_cycles,end_cycles,sm_id,tile_m,tile_n,cta,cluster,cta_rank,tile_ordinal,consumer,elapsed_ns,unmeasured_ns
10,4096,1,tma,1789358306023428864,1789358306023459488,24928,3072,0,0,101809258303551,101809258337120,34,4,26,40,20,0,3,0,30624,2624
10,4096,1,tma,1789358306023332448,1789358306023364512,26048,3008,0,0,101809258202770,101809258235198,35,4,2,41,20,1,0,0,32064,3008
10,4096,1,tma,1789358306023364608,1789358306023396320,26016,2784,0,0,101809258235326,101809258268587,35,4,10,41,20,1,1,0,31712,2912
10,4096,1,tma,1789358306023396448,1789358306023428736,26816,2848,0,0,101809258268715,101809258303413,35,4,18,41,20,1,2,0,32288,2624
10,4096,1,tma,1789358306023428832,1789358306023459488,25056,2848,0,0,101809258303541,101809258337126,35,4,26,41,20,1,3,0,30656,2752
10,4096,1,tma,1789358306023332448,1789358306023364544,25824,3360,0,0,101808427088736,101808427121247,36,5,2,42,21,0,0,0,32096,2912
10,4096,1,tma,1789358306023364672,1789358306023396288,25600,3200,0,0,101808427121375,101808427154660,36,5,10,42,21,0,1,0,31616,2816
10,4096,1,tma,1789358306023396416,1789358306023428448,26144,2944,0,0,101808427154788,101808427189176,36,5,18,42,21,0,2,0,32032,2944
10,4096,1,tma,1789358306023428544,1789358306023459328,25024,2944,0,0,101808427189305,101808427223001,36,5,26,42,21,0,3,0,30784,2816
10,4096,1,tma,1789358306023332448,1789358306023364544,26112,3072,0,0,101808427088733,101808427121253,37,5,2,43,21,1,0,0,32096,2912
10,4096,1,tma,1789358306023364672,1789358306023396320,25856,3008,0,0,101808427121381,101808427154663,37,5,10,43,21,1,1,0,31648,2784
10,4096,1,tma,1789358306023396448,1789358306023428416,26432,2816,0,0,101808427154791,101808427189171,37,5,18,43,21,1,2,0,31968,2720
10,4096,1,tma,1789358306023428544,1789358306023459360,25216,2880,0,0,101808427189299,101808427223005,37,5,26,43,21,1,3,0,30816,2720
10,4096,1,tma,1789358306023332256,1789358306023365280,26752,3328,0,0,101563915885416,101563915918102,38,6,2,44,22,0,0,0,33024,2944
10,4096,1,tma,1789358306023365376,1789358306023397312,25728,3200,0,0,101563915918230,101563915951470,38,6,10,44,22,0,1,0,31936,3008
10,4096,1,tma,1789358306023397440,1789358306023428896,25600,3104,0,0,101563915951598,101563915984945,38,6,18,44,22,0,2,0,31456,2752
10,4096,1,tma,1789358306023429024,1789358306023459520,24800,3072,0,0,101563915985075,101563916018453,38,6,26,44,22,0,3,0,30496,2624
